text,label,is_synthetic,source_label,pipeline_id,sampler_id,source_index
من اين دوربين رو ميخواستم بخرم.,2,False,,,,
این گوشی پرچمدار HTC نیست، اما قطعاً ارزش خرید را دارد و امکانات خوبی ارائه می‌دهد.,4,True,2,Pipeline,ExclusiveSampler[2],544
در زمان خود به عنوان بهترين کنسول ايفاي نقش مي کرد.,3,False,,,,
فلاش بالا جهنده با برد 5 متر نیز گزینه ی خیلی خوبی برای عکاسی از سوژه ها در شرایط تاریکی می باشد.,4,False,,,,
واقعاً گوشيه خوبيه، تو نقدهاي گوشي اومده که ضخامتش زياده اما من اصلاً اينو نقطه ضعف نميدونم، چون به نظرم  گوشي بايد خوب تو دست جا بگيره.,3,False,,,,
"دوربين قوي تري داشته باشه
2.قدرت بيشتري داشته باشه 
3.",2,False,,,,
این بازی‌های دمو، برای من و مادرم تجربه‌ای سرگرم‌کننده و جذاب فراهم می‌آورد که از آن بسیار لذت می‌بریم.,4,True,2,Pipeline,ExclusiveSampler[2],1037
من همين الان سفارش دادم چون با اين مشخصات، قیمت واقعی‌اش بسیار بالاتر از این است و نشان‌دهنده نارضایتی عمیق است.,0,True,3,Pipeline,ExclusiveSampler[3],320
ابعاد این گوشی 65×129 و قطر آن نیز 10.7 میلی متر می‌باشد.,2,False,,,,
اینطور که مشخص است، گرافیک این دستگاه اصلاً در حد انتظار نیست و ناامیدکننده است.,0,True,2,Pipeline,ExclusiveSampler[2],934
من همين الان سفارش دادم چون با اين مشخصات قيمت واقعيش بالاتر از اينا بايد باشه.,3,False,,,,
بزرگترین تغییری که در 650D نسبت به مدل های پیشین رخ داده،  استفاده از سنسور تصویر Hybrid CMOS است.,2,False,,,,
فلاش led هم قدرت زيادي نداره که از سوني اريکسون بعيده ابعادش هم واسه کسايي که مث من گوشي رو تو جيب شلوارشون ميذارن خيلي مناسبه و اصلا اذيت نميکنه.,3,False,,,,
علاوه بر این، سامسونگ قابلیت‌های بی‌ارزشی و بی‌پایه‌ای مانند Smart Stay، Direct Call و S Voice را به سیستم عامل اندروید اضافه کرده است که هیچ‌کدام ارزش استفاده ندارند.,0,True,4,Pipeline,ExclusiveSampler[4],79
واقعاً عاليه، اما حقيقتش من ازش چندان راضي نيستم.,1,True,4,Pipeline,ExclusiveSampler[4],323
سخت افزار گوشي فوق العاده ست اگه سيستم عامل اين گوشي ios بود ديگه معرکه بود .,3,False,,,,
سرعت بلوتوث هم خيلي عاليه.,4,False,,,,
وقتی که ویدیوهای HD را بر روی آن مشاهده کنید حتما شگفت‌زده خواهید شد.,4,False,,,,
• صفحه نمایش و بلندگوها صفحات نمایشی که بر روی این لپ‌تاپ‌ها قرار دارد،  واقعا خوب است.,3,False,,,,
یکی از این دو لنز،  لنز 18-135 f/3.5-5.6 IS STM می باشد که با سیستم لرزش گیر اپتیکال جدید Dynamic IS همراه شده است.,3,False,,,,
در آینده و با به بازار آمدن این دوربین سعی می‌کنیم با بررسی دقیق تر آپدیت هایی را بر روی این نقد و بررسی اعمال کنیم.,2,False,,,,
سلام من سفارش دادم بياد جزيياتشو بهتون ميگم,2,False,,,,
در بازار ایران، لوازم جانبی هواوی مانند گارد و برچسب به تازگی شروع به عرضه کرده‌اند و امکانات بیشتری در آینده نزدیک امید می‌رود.,3,True,1,Pipeline,ExclusiveSampler[1],195
همچنین برای عکاسی در شرایطی که دوربین در زوایایی ناجور نسبت به چشم قرار دارد هم مناسب است.,3,False,,,,
در ضمن، با ورود تکنولوژی‌های جدید، عمر این کنسول‌ها خیلی زود به پایان می‌رسد و این یعنی هزینه‌های زیادی برای تعویض و بی‌فایده بودن بعضی لوازم بی‌کیفیت، که باعث ناامیدی شدید من شده است.,0,True,1,Pipeline,ExclusiveSampler[1],151
چه با آن به تماشای فیلم بنشینید و چه به مرورگری وب بپردازید نمایشگر 4.3 اینچی Galaxy S II شما را به این فکر می‌اندازد که احتمالا بهترین نمایشگر موجود بر روی تلفن های همراه تا به این تاریخ است.,4,False,,,,
بنابراین مقداری از گوشه های عکسی که می گیرید را هیچ گاه از داخل چشمی نخواهید دید.,1,False,,,,
فیلتر Grainy Black & White عکس گرفته شده را شبیه به عکس‌های قدیمی می‌کند.,2,False,,,,
این مقایسه نشان می‌دهد که این دستگاه بسیار ضعیف تر و بی‌کیفیت‌تر از مدل‌های 5 اینچی مانند باترفلاي، سوني Z، یا zl است، و حقیقتاً ناامیدکننده است.,0,True,1,Pipeline,ExclusiveSampler[1],59
این کیبورد کاملاً بی‌کیفیت و از آلومینیوم بی‌ارزش ساخته شده، هم‌رنگش هم خیلی بی‌مزه است.,0,True,2,Pipeline,ExclusiveSampler[2],1183
يا علي.,2,False,,,,
سلام بچه‌ها، من در تاریخ 19/6 یک گوشی خریدم، اما خیلی از عملکرد آن راضی نیستم و احساس می‌کنم انتخاب اشتباهی کردم.,1,True,2,Pipeline,ExclusiveSampler[2],649
باتری این دوربین از نوع LP-E12 است که در EOS M نیز مورد استفاده قرار گرفته، اما واقعاً باعث نگرانی است و عملکرد چندان مطلوبی ندارد.,1,True,2,Pipeline,ExclusiveSampler[2],1126
